#SampleID,physical_specimen_remaining,qiita_study_id,env_biome,env_feature,sample_type,longitude,latitude,description
1579.MF.2.30,TRUE,1579,tropical shrubland biome,volcano,soil,-155.764,20.126,soil elevation  1146m
755.SSFA.L1.D30.19.07.11.lane1.NoIndex.L001,TRUE,755,urban biome,biofilter,filtration sand,-3.204,55.906,samples of sand from slow_sand filter water purification system
10180.J9III,FALSE,10180,cropland biome,agricultural soil,soil,-49.91,-20.9436,J9III Soil sample
1889.soil1.T0U2,TRUE,1889,urban biome,soil,soil,-105.27,40.01,untreated_soil.soil.0
2105.CP255,TRUE,2105,urban biome,park,soil,-73.96976,40.77541,CP255 soil sample from Central Park
11116.L20A073.1197617,FALSE,11116,cropland biome,plant-associated habitat,soil,-84.555,42.733,sample L06A073
12201.soil.rhizosphere.slurry.K.3.microbiome2.H,TRUE,12201,urban biome,plant-associated habitat,soil,-117.25,32.5,rhizosphere soil
1642.MS00264,TRUE,1642,cropland biome,alluvial paddy field soil,soil,138.937,35.117,Bulk soil Nipponbare MS00264
11116.I09A104.1196968,FALSE,11116,cropland biome,plant-associated habitat,soil,-76.502,42.444,sample I26A097
14989.soil.face.SHSU.2017.046.2017.12.21.day3,FALSE,14989,urban biome,research facility,soil,95.476,30.745,11489.soil.face.SHSU.2017.046.2017.12.21.day3
11116.L11A093.1197563,FALSE,11116,cropland biome,plant-associated habitat,soil,-84.555,42.733,sample L02A074
2105.CP212,TRUE,2105,urban biome,park,soil,-73.96924,40.78048,CP212 soil sample from Central Park
2105.CP630.r,TRUE,2105,urban biome,park,soil,-73.95758,40.79956,CP630 soil sample from Central Park
2378.winter.control.0.2,FALSE,2378,"Temperate grasslands, savannas, and shrubland biome",farm soil,soil,-96.682,40.81,winter.control.0.2
2104.CP499.r,FALSE,2104,urban biome,park,soil,-73.96453,40.79146,soil
632.Wetland.soil,FALSE,632,montane shrubland biome,wetland,soil,-73.13,45.56,"Wetland soil, Mt. St. Hilaire"
2104.CP268.r,FALSE,2104,urban biome,park,soil,-73.97021,40.77787,soil
14871.NGS21.039,FALSE,14871,alpine tundra biome,proglacial,soil,13.06082552,47.78886403,Soil
11116.A12B070.1197373,FALSE,11116,cropland biome,plant-associated habitat,soil,-76.702,42.754,sample A12B070
10141.F.CTRL.soil.T4.5,TRUE,10141,Temperate coniferous forest biome,agricultural soil,soil,-105.27,40.015,Mouse Decomposition experiment on contrasting soil types
10142.SoilControl.3.6.2013.Soil.ctrl.ctrlB,TRUE,10142,urban biome,research facility,soil,-95.55,30.71308,SoilControl.3.6.2013.Soil.ctrl.ctrlB
1642.MS00065,TRUE,1642,cropland biome,alluvial paddy field soil,soil,138.937,35.117,Bulk soil Nipponbare MS00065
10363.AC13,FALSE,10363,coniferous forest biome,rhizosphere,rhizome,-105.132307,40.545941,"Symphyotrichum ericoides HA, Pine Ridge (seleniferous)"
14989.soil.hip.CMU.16.10.2016.08.14.day9,FALSE,14989,urban biome,research facility,soil,-108.55,39.08,11489.soil.hip.CMU.16.10.2016.08.14.day9
13114.roy.chowdhury.45.s005,TRUE,13114,marine salt marsh biome,saline marsh,soil,-6.95736,37.207687,subsurface soil
755.LSSF.ALPHA.D20.16.06.11.lane1.NoIndex.L001,TRUE,755,urban biome,biofilter,filtration sand,-4.284,55.873,samples of sand from labscale_slow_sand filter with dirty sand: water purification system
14989.soil.face.UTK.K016.01.2016.04.20.day16,FALSE,14989,dense settlement biome,research facility,soil,-83.939774,35.940959,11271.soil.face.UTK.K016.01.2016.04.20.day16
14989.soil.face.SHSU.2016.073.2016.11.15.day12,FALSE,14989,urban biome,research facility,soil,95.476,30.745,11489.soil.face.SHSU.2016.073.2016.11.15.day12
14989.soil.hip.UTK.K016.12.2017.06.03.day10,FALSE,14989,urban biome,research facility,soil,-83.939774,35.940959,11489.soil.hip.UTK.K016.12.2017.06.03.day10
659.NZFACE.R6.Browntop,TRUE,659,cropland biome,pasture,soil,175.267,-40.017,soil sample from rhizosphere soil of ryegrass from Ring 4 of NZ FACE expt . In ring 4 pasture atmosphere is enriched with ambient CO2 throughout photoperiod and throughout photoperiod since 1997. area exposed to warming treatment since 2009
10218.T1.R5.6,FALSE,10218,urban biome,research facility,soil,-107.2,40.1,Well E6 T1.R5.6
11116.C14A63.1197654,FALSE,11116,cropland biome,plant-associated habitat,soil,-82.999,39.961,sample A20D079
11116.L28A103.1197097,FALSE,11116,cropland biome,plant-associated habitat,soil,-84.555,42.733,sample L30A079
14937.S00IE0118,FALSE,14937,urban biome,farmland soil,soil,-90.68664,38.8477,soil sample D5 1075/1076 150
11116.A05C064.1198397,FALSE,11116,cropland biome,plant-associated habitat,soil,-76.702,42.754,sample L19A066
11116.L19A079.1195232,FALSE,11116,cropland biome,plant-associated habitat,soil,-84.555,42.733,sample I.wk20.3
11116.L12A072.1196890,FALSE,11116,cropland biome,plant-associated habitat,soil,-84.555,42.733,sample A08A064
11116.A23B088.1196346,FALSE,11116,cropland biome,plant-associated habitat,soil,-76.702,42.754,sample A23B088
2105.CP272,TRUE,2105,urban biome,park,soil,-73.96863,40.77742,CP272 soil sample from Central Park
14989.soil.ctrl.UTK.K016.02.2016.05.01.day19,FALSE,14989,dense settlement biome,research facility,soil,-83.939774,35.940959,11271.soil.ctrl.UTK.K016.02.2016.05.01.day19
11116.C33A65.1198079,FALSE,11116,cropland biome,plant-associated habitat,soil,-82.999,39.961,sample A11A076
11116.L12A078.1197497,FALSE,11116,cropland biome,plant-associated habitat,soil,-84.555,42.733,sample A08A091
